FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
021029;0000;64,9166;;;
021030;0000;74,842;;;
021031;0000;71,5833;;;
021101;0000;40,9583;;;
021102;0000;35,2083;;;
021103;0000;38,9583;;;
021104;0000;51,875;;;
021105;0000;65,826;;;
021106;0000;30,5;;;
021107;0000;38,875;;;
021108;0000;36,9583;;;
021109;0000;38,5416;;;
021110;0000;51,8333;;;
021111;0000;61,9583;;;
021112;0000;61,75;;;
021113;0000;59,3333;;;
021114;0000;66,7916;;;
021115;0000;67,75;;;
021116;0000;51,7083;;;
021117;0000;43,2916;;;
021118;0000;65,125;;;
021119;0000;56,2609;;;
021120;0000;;;;
021121;0000;67,6842;;;
021122;0000;86,6315;;;
021123;0000;;;;
021124;0000;56,7;;;
021125;0000;60,55;;;
021126;0000;31,9583;;;
021127;0000;49,625;;;
021128;0000;70,8333;;;
021129;0000;57,5416;;;
021130;0000;48,875;;;
021201;0000;47,875;;;
021202;0000;59,625;;;
021203;0000;66,125;;;
021204;0000;30,0417;;;
021205;0000;36,875;;;
021206;0000;48,25;;;
021207;0000;57,7916;;;
021208;0000;50,25;;;
021209;0000;45;;;
021210;0000;57,125;;;
021211;0000;70;;;
021212;0000;76,75;;;
021213;0000;61,25;;;
021214;0000;64,7916;;;
021215;0000;50,5833;;;
021216;0000;49,7083;;;
021217;0000;;;;
021218;0000;;;;
021219;0000;;;;
021220;0000;;;;
021221;0000;;;;
021222;0000;;;;
021223;0000;;;;
021224;0000;;;;
021225;0000;;;;
021226;0000;;;;
021227;0000;;;;
021228;0000;;;;
021229;0000;;;;
021230;0000;;;;
021231;0000;;;;
030101;0000;;;;
030102;0000;;;;
030103;0000;;;;
030104;0000;59,2916;;;
030105;0000;55,4166;;;
030106;0000;73,875;;;
030107;0000;50,5;;;
030108;0000;48,9166;;;
030109;0000;64,2173;;;
030110;0000;59,6666;;;
030111;0000;64,5;;;
030112;0000;79,625;;;
030113;0000;;;;
030114;0000;;;;
030115;0000;51,3333;;;
030116;0000;57;;;
030117;0000;47,5833;;;
030118;0000;64,0833;;;
030119;0000;61,9166;;;
030120;0000;41,9166;;;
030121;0000;21,8333;;;
030122;0000;36,8333;;;
030123;0000;55,2083;;;
